2024.05.01 10:57 | 平仓: 买入 | 订单: 7 | 盈亏: 2.52 | 原因: 应急仓位盈利目标平仓
2024.05.01 10:57 | 平仓: 买入 | 订单: 6 | 盈亏: 2.96 | 原因: 应急仓位盈利目标平仓
2024.05.01 12:05 | 平仓: 买入 | 订单: 9 | 盈亏: 2.64 | 原因: 应急仓位盈利目标平仓
2024.05.01 12:05 | 平仓: 买入 | 订单: 8 | 盈亏: 2.74 | 原因: 应急仓位盈利目标平仓
2024.05.01 23:37 | 平仓: 买入 | 订单: 29 | 盈亏: 2.58 | 原因: 应急仓位盈利目标平仓
2024.05.02 02:45 | 平仓: 买入 | 订单: 32 | 盈亏: 2.60 | 原因: 应急仓位盈利目标平仓
2024.05.02 02:45 | 平仓: 买入 | 订单: 31 | 盈亏: 3.02 | 原因: 应急仓位盈利目标平仓
2024.05.02 09:20 | 平仓: 买入 | 订单: 38 | 盈亏: 2.80 | 原因: 应急仓位盈利目标平仓
2024.05.02 09:20 | 平仓: 买入 | 订单: 39 | 盈亏: 2.82 | 原因: 应急仓位盈利目标平仓
2024.05.03 01:02 | 平仓: 买入 | 订单: 60 | 盈亏: 2.56 | 原因: 应急仓位盈利目标平仓
2024.05.03 01:19 | 平仓: 买入 | 订单: 61 | 盈亏: 2.60 | 原因: 应急仓位盈利目标平仓
2024.05.03 04:33 | 平仓: 买入 | 订单: 62 | 盈亏: 2.54 | 原因: 应急仓位盈利目标平仓
2024.05.03 04:34 | 平仓: 买入 | 订单: 63 | 盈亏: 2.80 | 原因: 应急仓位盈利目标平仓
2024.05.03 07:32 | 平仓: 买入 | 订单: 65 | 盈亏: 3.16 | 原因: 应急仓位盈利目标平仓
2024.05.03 07:32 | 平仓: 买入 | 订单: 64 | 盈亏: 2.94 | 原因: 应急仓位盈利目标平仓
2024.05.03 16:33 | 平仓: 卖出 | 订单: 1 | 盈亏: 2.86 | 原因: 250点盈利平仓
2024.05.03 16:34 | 平仓: 卖出 | 订单: 3 | 盈亏: 2.79 | 原因: 250点盈利平仓
2024.05.06 03:54 | 平仓: 买入 | 订单: 87 | 盈亏: 2.70 | 原因: 应急仓位盈利目标平仓
2024.05.06 03:54 | 平仓: 买入 | 订单: 86 | 盈亏: 2.82 | 原因: 应急仓位盈利目标平仓
2024.05.06 10:26 | 平仓: 买入 | 订单: 89 | 盈亏: 2.74 | 原因: 应急仓位盈利目标平仓
2024.05.06 10:26 | 平仓: 买入 | 订单: 88 | 盈亏: 2.94 | 原因: 应急仓位盈利目标平仓
2024.05.06 10:34 | 平仓: 买入 | 订单: 91 | 盈亏: 2.98 | 原因: 应急仓位盈利目标平仓
2024.05.06 10:34 | 平仓: 买入 | 订单: 90 | 盈亏: 2.76 | 原因: 应急仓位盈利目标平仓
2024.05.07 03:16 | 平仓: 买入 | 订单: 96 | 盈亏: 2.52 | 原因: 应急仓位盈利目标平仓
2024.05.07 03:19 | 平仓: 买入 | 订单: 97 | 盈亏: 2.52 | 原因: 应急仓位盈利目标平仓
2024.05.08 10:59 | 平仓: 买入 | 订单: 99 | 盈亏: -40.10 | 原因: 应急仓位止损平仓
2024.05.08 10:59 | 平仓: 买入 | 订单: 98 | 盈亏: -40.14 | 原因: 应急仓位止损平仓
2024.05.08 16:30 | 平仓: 买入 | 订单: 101 | 盈亏: 3.18 | 原因: 应急仓位盈利目标平仓
2024.05.08 17:22 | 平仓: 买入 | 订单: 100 | 盈亏: 2.70 | 原因: 应急仓位盈利目标平仓
2024.05.08 18:27 | 平仓: 买入 | 订单: 103 | 盈亏: 2.88 | 原因: 应急仓位盈利目标平仓
2024.05.08 18:27 | 平仓: 买入 | 订单: 102 | 盈亏: 2.52 | 原因: 应急仓位盈利目标平仓
2024.05.10 16:48 | 平仓: 买入 | 订单: 128 | 盈亏: 2.62 | 原因: 应急仓位盈利目标平仓
2024.05.10 16:50 | 平仓: 买入 | 订单: 127 | 盈亏: 2.80 | 原因: 应急仓位盈利目标平仓
2024.05.10 17:30 | 平仓: 买入 | 订单: 131 | 盈亏: 2.58 | 原因: 应急仓位盈利目标平仓
2024.05.10 17:30 | 平仓: 买入 | 订单: 132 | 盈亏: 3.20 | 原因: 应急仓位盈利目标平仓
2024.05.13 03:15 | 平仓: 买入 | 订单: 139 | 盈亏: 2.82 | 原因: 应急仓位盈利目标平仓
2024.05.13 03:15 | 平仓: 买入 | 订单: 138 | 盈亏: 2.86 | 原因: 应急仓位盈利目标平仓
2024.05.13 17:45 | 平仓: 买入 | 订单: 147 | 盈亏: 3.10 | 原因: 应急仓位盈利目标平仓
2024.05.13 17:45 | 平仓: 买入 | 订单: 146 | 盈亏: 3.12 | 原因: 应急仓位盈利目标平仓
