run_id,module,object_id,version,set_role,window,stage,case_id,status,source_file,ex5_file,set_file,config_file,report_file,start_date,end_date,symbol,timeframe,model,spread_mode,spread_level,slippage_level,deposit,leverage,net_profit,profit_retention_pct,profit_factor,max_balance_dd,max_balance_dd_pct,max_equity_dd,max_equity_dd_pct,relative_equity_dd,relative_equity_dd_pct,total_trades,trade_count_retention_pct,win_rate,avg_profit_per_trade,worst_period_flag,sensitivity_rating,decision,notes
v866_B_smoke_2020-2026_20260620_012138_case0001,smoke,B,v8.66,"v8.66 robust case0010",2020-2026,smoke,1,completed,"E:\CODEXMACD\SniperTrendEA_v8.66_grokbase_structure_risk_r68_dualperiod_candidate.mq5","D:\MT5测试\MetaTrader 5\MQL5\Experts\SniperTrendEA_v8.66_r68_dualperiod_candidate_20260619.ex5",E:\CODEXMACD\HCSJ\set\v8.66\2020-2026\v866_B_smoke_2020-2026_20260620_012138_case0001.set,"E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2020-2026\v866_B_smoke_2020-2026_20260620_012138_case0001\v866_B_smoke_2020-2026_20260620_012138_case0001.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2020-2026\v866_B_smoke_2020-2026_20260620_012138_case0001\v866_B_smoke_2020-2026_20260620_012138_case0001.htm",2020.01.01,2026.06.30,XAUUSD,H4,1,"current","current",0,20000,100,556052.56,100,2.27,59844.56,26.07,149127.97,24.11,44953.78,47.04,203,,46.80,2739.18,,,smoke-test,"five-hour smoke test"
v86_A_date_shift_2012-2019_20260620_012138_case1000,date_shift,A,v8.6,"v8.6 robust case0502",2012-2019,"original",1000,completed,"E:\GROKMACD\SniperTrendEA_v8.6.mq5","D:\MT5测试\MetaTrader 5\MQL5\Experts\SniperTrendEA_v8.6_groktrue_20260619.ex5",E:\CODEXMACD\HCSJ\set\v8.6\2012-2019\v86_A_date_shift_2012-2019_20260620_012138_case1000.set,"E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2012-2019\v86_A_date_shift_2012-2019_20260620_012138_case1000\v86_A_date_shift_2012-2019_20260620_012138_case1000.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2012-2019\v86_A_date_shift_2012-2019_20260620_012138_case1000\v86_A_date_shift_2012-2019_20260620_012138_case1000.htm",2012.01.01,2019.12.31,XAUUSD,H4,1,"current","current",0,20000,100,133752.99,,1.22,73840.72,34.17,93941.62,39.85,75279.12,61.15,255,,36.47,524.52,,,date-shift,"date shift original"
v86_A_date_shift_2012-2019_20260620_012138_case1001,date_shift,A,v8.6,"v8.6 robust case0502",2012-2019,"start_plus_1m",1001,completed,"E:\GROKMACD\SniperTrendEA_v8.6.mq5","D:\MT5测试\MetaTrader 5\MQL5\Experts\SniperTrendEA_v8.6_groktrue_20260619.ex5",E:\CODEXMACD\HCSJ\set\v8.6\2012-2019\v86_A_date_shift_2012-2019_20260620_012138_case1001.set,"E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2012-2019\v86_A_date_shift_2012-2019_20260620_012138_case1001\v86_A_date_shift_2012-2019_20260620_012138_case1001.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2012-2019\v86_A_date_shift_2012-2019_20260620_012138_case1001\v86_A_date_shift_2012-2019_20260620_012138_case1001.htm",2012.02.01,2019.12.31,XAUUSD,H4,1,"current","current",0,20000,100,150787.75,,1.22,82024.35,34.17,104356.19,39.86,83547.53,61.15,251,,36.65,600.75,,,date-shift,"date shift start_plus_1m"
v86_A_date_shift_2012-2019_20260620_012138_case1002,date_shift,A,v8.6,"v8.6 robust case0502",2012-2019,"start_plus_3m",1002,completed,"E:\GROKMACD\SniperTrendEA_v8.6.mq5","D:\MT5测试\MetaTrader 5\MQL5\Experts\SniperTrendEA_v8.6_groktrue_20260619.ex5",E:\CODEXMACD\HCSJ\set\v8.6\2012-2019\v86_A_date_shift_2012-2019_20260620_012138_case1002.set,"E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2012-2019\v86_A_date_shift_2012-2019_20260620_012138_case1002\v86_A_date_shift_2012-2019_20260620_012138_case1002.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2012-2019\v86_A_date_shift_2012-2019_20260620_012138_case1002\v86_A_date_shift_2012-2019_20260620_012138_case1002.htm",2012.04.01,2019.12.31,XAUUSD,H4,1,"current","current",0,20000,100,137840.96,,1.22,75803.65,34.16,96438.13,39.85,77193.13,61.13,245,,36.33,562.62,,,date-shift,"date shift start_plus_3m"
v86_A_date_shift_2012-2019_20260620_012138_case1003,date_shift,A,v8.6,"v8.6 robust case0502",2012-2019,"end_minus_1m",1003,completed,"E:\GROKMACD\SniperTrendEA_v8.6.mq5","D:\MT5测试\MetaTrader 5\MQL5\Experts\SniperTrendEA_v8.6_groktrue_20260619.ex5",E:\CODEXMACD\HCSJ\set\v8.6\2012-2019\v86_A_date_shift_2012-2019_20260620_012138_case1003.set,"E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2012-2019\v86_A_date_shift_2012-2019_20260620_012138_case1003\v86_A_date_shift_2012-2019_20260620_012138_case1003.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2012-2019\v86_A_date_shift_2012-2019_20260620_012138_case1003\v86_A_date_shift_2012-2019_20260620_012138_case1003.htm",2012.01.01,2019.11.30,XAUUSD,H4,1,"current","current",0,20000,100,132191.35,,1.21,73840.72,34.17,93941.62,39.85,75279.12,61.15,253,,36.36,522.5,,,date-shift,"date shift end_minus_1m"
v86_A_date_shift_2012-2019_20260620_012138_case1004,date_shift,A,v8.6,"v8.6 robust case0502",2012-2019,"end_minus_3m",1004,completed,"E:\GROKMACD\SniperTrendEA_v8.6.mq5","D:\MT5测试\MetaTrader 5\MQL5\Experts\SniperTrendEA_v8.6_groktrue_20260619.ex5",E:\CODEXMACD\HCSJ\set\v8.6\2012-2019\v86_A_date_shift_2012-2019_20260620_012138_case1004.set,"E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2012-2019\v86_A_date_shift_2012-2019_20260620_012138_case1004\v86_A_date_shift_2012-2019_20260620_012138_case1004.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2012-2019\v86_A_date_shift_2012-2019_20260620_012138_case1004\v86_A_date_shift_2012-2019_20260620_012138_case1004.htm",2012.01.01,2019.09.30,XAUUSD,H4,1,"current","current",0,20000,100,157043.52,,1.27,73840.72,34.17,93941.62,39.85,75279.12,61.15,247,,36.03,635.8,,,date-shift,"date shift end_minus_3m"
v86_A_date_shift_2012-2019_20260620_012138_case1005,date_shift,A,v8.6,"v8.6 robust case0502",2012-2019,"start_plus_1m_end_minus_1m",1005,completed,"E:\GROKMACD\SniperTrendEA_v8.6.mq5","D:\MT5测试\MetaTrader 5\MQL5\Experts\SniperTrendEA_v8.6_groktrue_20260619.ex5",E:\CODEXMACD\HCSJ\set\v8.6\2012-2019\v86_A_date_shift_2012-2019_20260620_012138_case1005.set,"E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2012-2019\v86_A_date_shift_2012-2019_20260620_012138_case1005\v86_A_date_shift_2012-2019_20260620_012138_case1005.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2012-2019\v86_A_date_shift_2012-2019_20260620_012138_case1005\v86_A_date_shift_2012-2019_20260620_012138_case1005.htm",2012.02.01,2019.11.30,XAUUSD,H4,1,"current","current",0,20000,100,149051.95,,1.22,82024.35,34.17,104356.19,39.86,83547.53,61.15,249,,36.55,598.6,,,date-shift,"date shift start_plus_1m_end_minus_1m"
v86_A_date_shift_2012-2019_20260620_012138_case1006,date_shift,A,v8.6,"v8.6 robust case0502",2012-2019,"start_plus_3m_end_minus_3m",1006,completed,"E:\GROKMACD\SniperTrendEA_v8.6.mq5","D:\MT5测试\MetaTrader 5\MQL5\Experts\SniperTrendEA_v8.6_groktrue_20260619.ex5",E:\CODEXMACD\HCSJ\set\v8.6\2012-2019\v86_A_date_shift_2012-2019_20260620_012138_case1006.set,"E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2012-2019\v86_A_date_shift_2012-2019_20260620_012138_case1006\v86_A_date_shift_2012-2019_20260620_012138_case1006.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2012-2019\v86_A_date_shift_2012-2019_20260620_012138_case1006\v86_A_date_shift_2012-2019_20260620_012138_case1006.htm",2012.04.01,2019.09.30,XAUUSD,H4,1,"current","current",0,20000,100,161760.24,,1.27,75803.65,34.16,96438.13,39.85,77193.13,61.13,237,,35.86,682.53,,,date-shift,"date shift start_plus_3m_end_minus_3m"
v86_A_date_shift_2012-2019_20260620_012138_case1007,date_shift,A,v8.6,"v8.6 robust case0502",2012-2019,"start_plus_6m_end_minus_6m",1007,completed,"E:\GROKMACD\SniperTrendEA_v8.6.mq5","D:\MT5测试\MetaTrader 5\MQL5\Experts\SniperTrendEA_v8.6_groktrue_20260619.ex5",E:\CODEXMACD\HCSJ\set\v8.6\2012-2019\v86_A_date_shift_2012-2019_20260620_012138_case1007.set,"E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2012-2019\v86_A_date_shift_2012-2019_20260620_012138_case1007\v86_A_date_shift_2012-2019_20260620_012138_case1007.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2012-2019\v86_A_date_shift_2012-2019_20260620_012138_case1007\v86_A_date_shift_2012-2019_20260620_012138_case1007.htm",2012.07.01,2019.06.30,XAUUSD,H4,1,"current","current",0,20000,100,167869.81,,1.35,67419.42,34.16,85774.44,39.85,68682.38,61.14,223,,36.77,752.78,,,date-shift,"date shift start_plus_6m_end_minus_6m"
v86_A_date_shift_2020-2026_20260620_012138_case1000,date_shift,A,v8.6,"v8.6 robust case0502",2020-2026,"original",1000,completed,"E:\GROKMACD\SniperTrendEA_v8.6.mq5","D:\MT5测试\MetaTrader 5\MQL5\Experts\SniperTrendEA_v8.6_groktrue_20260619.ex5",E:\CODEXMACD\HCSJ\set\v8.6\2020-2026\v86_A_date_shift_2020-2026_20260620_012138_case1000.set,"E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2020-2026\v86_A_date_shift_2020-2026_20260620_012138_case1000\v86_A_date_shift_2020-2026_20260620_012138_case1000.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2020-2026\v86_A_date_shift_2020-2026_20260620_012138_case1000\v86_A_date_shift_2020-2026_20260620_012138_case1000.htm",2020.01.01,2026.06.30,XAUUSD,H4,1,"current","current",0,20000,100,489512.30,,2.07,59561.76,32.41,129165.44,24.36,47692.84,51.62,215,,45.12,2276.8,,,date-shift,"date shift original"
