"phase","candidate_case","version","set_role","run_id","window","net_profit","profit_factor","max_equity_dd_pct","total_trades","score","decision","notes"
"train","1","v8.6","v86 original","v86_WF86_walkforward_reverse_2020-2026_20260620_012138_case0001","2020-2026","557505.36","2.27","24.13","203","82.178536","candidate","Task 3 reverse walk-forward"
"train","2","v8.6","v86 risk040","v86_WF86_walkforward_reverse_2020-2026_20260620_012138_case0002","2020-2026","314203.80","2.22","20.63","203","58.49838","candidate","Task 3 reverse walk-forward"
"train","3","v8.6","v86 risk050","v86_WF86_walkforward_reverse_2020-2026_20260620_012138_case0003","2020-2026","557505.36","2.27","24.13","203","82.178536","candidate","Task 3 reverse walk-forward"
"train","4","v8.6","v86 risk060","v86_WF86_walkforward_reverse_2020-2026_20260620_012138_case0004","2020-2026","928370.15","2.31","27.19","203","118.641015","candidate","Task 3 reverse walk-forward"
"train","5","v8.6","v86 atr130","v86_WF86_walkforward_reverse_2020-2026_20260620_012138_case0005","2020-2026","475720.24","2.07","24.27","221","71.124024","candidate","Task 3 reverse walk-forward"
"train","6","v8.6","v86 atr135","v86_WF86_walkforward_reverse_2020-2026_20260620_012138_case0006","2020-2026","489512.30","2.07","24.36","215","72.40723","candidate","Task 3 reverse walk-forward"
"train","7","v8.6","v86 atr125","v86_WF86_walkforward_reverse_2020-2026_20260620_012138_case0007","2020-2026","263399.55","1.75","74.22","226","25.161955","candidate","Task 3 reverse walk-forward"
"train","8","v8.6","v86 atr145","v86_WF86_walkforward_reverse_2020-2026_20260620_012138_case0008","2020-2026","670609.52","2.30","24.53","204","93.788952","candidate","Task 3 reverse walk-forward"
"train","9","v8.6","v86 original exit","v86_WF86_walkforward_reverse_2020-2026_20260620_012138_case0009","2020-2026","557505.36","2.27","24.13","203","82.178536","candidate","Task 3 reverse walk-forward"
"train","10","v8.6","v86 risk045 atr135","v86_WF86_walkforward_reverse_2020-2026_20260620_012138_case0010","2020-2026","378339.76","2.05","22.68","215","61.661976","candidate","Task 3 reverse walk-forward"
"train","11","v8.6","v86 risk055 atr135","v86_WF86_walkforward_reverse_2020-2026_20260620_012138_case0011","2020-2026","625720.29","2.10","25.91","215","85.858029","candidate","Task 3 reverse walk-forward"
"train","12","v8.6","v86 atr170","v86_WF86_walkforward_reverse_2020-2026_20260620_012138_case0012","2020-2026","163024.88","1.87","24.02","195","36.694488","candidate","Task 3 reverse walk-forward"
"train","101","v8.66","v866 base","v866_WF866_walkforward_reverse_2020-2026_20260620_012138_case0101","2020-2026","548406.06","2.26","24.08","203","81.138606","candidate","Task 3 reverse walk-forward"
"train","102","v8.66","v866 lot098","v866_WF866_walkforward_reverse_2020-2026_20260620_012138_case0102","2020-2026","541449.81","2.26","24.10","203","80.434981","candidate","Task 3 reverse walk-forward"
"train","103","v8.66","v866 lot100","v866_WF866_walkforward_reverse_2020-2026_20260620_012138_case0103","2020-2026","556342.69","2.27","24.10","203","82.074269","candidate","Task 3 reverse walk-forward"
"train","104","v8.66","v866 risk043","v866_WF866_walkforward_reverse_2020-2026_20260620_012138_case0104","2020-2026","371235.57","2.23","21.73","203","63.911557","candidate","Task 3 reverse walk-forward"
"train","105","v8.66","v866 risk045","v866_WF866_walkforward_reverse_2020-2026_20260620_012138_case0105","2020-2026","414756.04","2.24","22.40","203","68.145604","candidate","Task 3 reverse walk-forward"
