"run_id","module","object_id","version","set_role","period","from","to","status","net_profit","profit_factor","max_equity_dd","max_equity_dd_pct","total_trades","win_rate","report","set_file"
"v86_A_monthly_full_201201_20260620_033821_case0001","monthly_full","A","v8.6","v8.6 robust case0502","201201","2012.01.01","2012.01.31","completed","-1927.06","0.05","2742.28","13.31","4","25.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\201201\v86_A_monthly_full_201201_20260620_033821_case0001\v86_A_monthly_full_201201_20260620_033821_case0001.htm","E:\CODEXMACD\HCSJ\set\v8.6\201201\v86_A_monthly_full_201201_20260620_033821_case0001.set"
"v866_D_monthly_full_201201_20260620_033821_case0002","monthly_full","D","v8.66","v8.66 conservative case0401","201201","2012.01.01","2012.01.31","completed","-1651.43","0.05","2215.43","10.86","4","25.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201201\v866_D_monthly_full_201201_20260620_033821_case0002\v866_D_monthly_full_201201_20260620_033821_case0002.htm","E:\CODEXMACD\HCSJ\set\v8.66\201201\v866_D_monthly_full_201201_20260620_033821_case0002.set"
"v86_A_monthly_full_201202_20260620_033821_case0003","monthly_full","A","v8.6","v8.6 robust case0502","201202","2012.02.01","2012.02.29","completed","-1920.85","0.01","2214.06","10.91","3","33.33","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\201202\v86_A_monthly_full_201202_20260620_033821_case0003\v86_A_monthly_full_201202_20260620_033821_case0003.htm","E:\CODEXMACD\HCSJ\set\v8.6\201202\v86_A_monthly_full_201202_20260620_033821_case0003.set"
"v866_D_monthly_full_201202_20260620_033821_case0004","monthly_full","D","v8.66","v8.66 conservative case0401","201202","2012.02.01","2012.02.29","completed","-1635.13","0.01","1856.32","9.18","3","33.33","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201202\v866_D_monthly_full_201202_20260620_033821_case0004\v866_D_monthly_full_201202_20260620_033821_case0004.htm","E:\CODEXMACD\HCSJ\set\v8.66\201202\v866_D_monthly_full_201202_20260620_033821_case0004.set"
"v86_A_monthly_full_201203_20260620_033821_case0005","monthly_full","A","v8.6","v8.6 robust case0502","201203","2012.03.01","2012.03.31","completed","1787.27","2.78","3043.05","14.36","3","66.67","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\201203\v86_A_monthly_full_201203_20260620_033821_case0005\v86_A_monthly_full_201203_20260620_033821_case0005.htm","E:\CODEXMACD\HCSJ\set\v8.6\201203\v86_A_monthly_full_201203_20260620_033821_case0005.set"
"v866_D_monthly_full_201203_20260620_033821_case0006","monthly_full","D","v8.66","v8.66 conservative case0401","201203","2012.03.01","2012.03.31","completed","1194.91","2.38","2445.72","11.69","3","66.67","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201203\v866_D_monthly_full_201203_20260620_033821_case0006\v866_D_monthly_full_201203_20260620_033821_case0006.htm","E:\CODEXMACD\HCSJ\set\v8.66\201203\v866_D_monthly_full_201203_20260620_033821_case0006.set"
"v86_A_monthly_full_201204_20260620_033821_case0007","monthly_full","A","v8.6","v8.6 robust case0502","201204","2012.04.01","2012.04.30","completed","0.00","0.00","0.00","0.00","0","0.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\201204\v86_A_monthly_full_201204_20260620_033821_case0007\v86_A_monthly_full_201204_20260620_033821_case0007.htm","E:\CODEXMACD\HCSJ\set\v8.6\201204\v86_A_monthly_full_201204_20260620_033821_case0007.set"
"v866_D_monthly_full_201204_20260620_033821_case0008","monthly_full","D","v8.66","v8.66 conservative case0401","201204","2012.04.01","2012.04.30","completed","0.00","0.00","0.00","0.00","0","0.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201204\v866_D_monthly_full_201204_20260620_033821_case0008\v866_D_monthly_full_201204_20260620_033821_case0008.htm","E:\CODEXMACD\HCSJ\set\v8.66\201204\v866_D_monthly_full_201204_20260620_033821_case0008.set"
"v86_A_monthly_full_201205_20260620_033821_case0009","monthly_full","A","v8.6","v8.6 robust case0502","201205","2012.05.01","2012.05.31","completed","6200.28","5.52","4701.05","15.21","2","50.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\201205\v86_A_monthly_full_201205_20260620_033821_case0009\v86_A_monthly_full_201205_20260620_033821_case0009.htm","E:\CODEXMACD\HCSJ\set\v8.6\201205\v86_A_monthly_full_201205_20260620_033821_case0009.set"
"v866_D_monthly_full_201205_20260620_033821_case0010","monthly_full","D","v8.66","v8.66 conservative case0401","201205","2012.05.01","2012.05.31","completed","4583.40","5.19","3817.63","13.44","2","50.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201205\v866_D_monthly_full_201205_20260620_033821_case0010\v866_D_monthly_full_201205_20260620_033821_case0010.htm","E:\CODEXMACD\HCSJ\set\v8.66\201205\v866_D_monthly_full_201205_20260620_033821_case0010.set"
"v86_A_monthly_full_201206_20260620_033821_case0011","monthly_full","A","v8.6","v8.6 robust case0502","201206","2012.06.01","2012.06.30","completed","-1997.54","0.00","2674.52","13.07","3","0.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\201206\v86_A_monthly_full_201206_20260620_033821_case0011\v86_A_monthly_full_201206_20260620_033821_case0011.htm","E:\CODEXMACD\HCSJ\set\v8.6\201206\v86_A_monthly_full_201206_20260620_033821_case0011.set"
