"run_id","module","object_id","version","set_role","period","from","to","status","net_profit","profit_factor","max_equity_dd","max_equity_dd_pct","total_trades","win_rate","report","set_file","config","metrics"
"v866_B_monthly_core_201201_20260620_051710_case0001","monthly_core","B","v8.66","v8.66 robust case0010","201201","2012.01.01","2012.01.31","completed","-1925.03","0.05","2562.83","12.54","4","25.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201201\v866_B_monthly_core_201201_20260620_051710_case0001\v866_B_monthly_core_201201_20260620_051710_case0001.htm","E:\CODEXMACD\HCSJ\set\v8.66\201201\v866_B_monthly_core_201201_20260620_051710_case0001.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201201\v866_B_monthly_core_201201_20260620_051710_case0001\v866_B_monthly_core_201201_20260620_051710_case0001.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201201\v866_B_monthly_core_201201_20260620_051710_case0001\v866_B_monthly_core_201201_20260620_051710_case0001_metrics.csv"
"v866_C_monthly_core_201201_20260620_051710_case0002","monthly_core","C","v8.66","v8.66 aggressive case0005","201201","2012.01.01","2012.01.31","completed","-2112.76","0.05","2809.18","13.71","4","25.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201201\v866_C_monthly_core_201201_20260620_051710_case0002\v866_C_monthly_core_201201_20260620_051710_case0002.htm","E:\CODEXMACD\HCSJ\set\v8.66\201201\v866_C_monthly_core_201201_20260620_051710_case0002.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201201\v866_C_monthly_core_201201_20260620_051710_case0002\v866_C_monthly_core_201201_20260620_051710_case0002.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201201\v866_C_monthly_core_201201_20260620_051710_case0002\v866_C_monthly_core_201201_20260620_051710_case0002_metrics.csv"
"v866_B_monthly_core_201202_20260620_051710_case0003","monthly_core","B","v8.66","v8.66 robust case0010","201202","2012.02.01","2012.02.29","completed","-1917.49","0.01","2179.83","10.76","3","33.33","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201202\v866_B_monthly_core_201202_20260620_051710_case0003\v866_B_monthly_core_201202_20260620_051710_case0003.htm","E:\CODEXMACD\HCSJ\set\v8.66\201202\v866_B_monthly_core_201202_20260620_051710_case0003.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201202\v866_B_monthly_core_201202_20260620_051710_case0003\v866_B_monthly_core_201202_20260620_051710_case0003.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201202\v866_B_monthly_core_201202_20260620_051710_case0003\v866_B_monthly_core_201202_20260620_051710_case0003_metrics.csv"
"v866_C_monthly_core_201202_20260620_051710_case0004","monthly_core","C","v8.66","v8.66 aggressive case0005","201202","2012.02.01","2012.02.29","completed","-2103.47","0.01","2391.53","11.79","3","33.33","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201202\v866_C_monthly_core_201202_20260620_051710_case0004\v866_C_monthly_core_201202_20260620_051710_case0004.htm","E:\CODEXMACD\HCSJ\set\v8.66\201202\v866_C_monthly_core_201202_20260620_051710_case0004.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201202\v866_C_monthly_core_201202_20260620_051710_case0004\v866_C_monthly_core_201202_20260620_051710_case0004.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201202\v866_C_monthly_core_201202_20260620_051710_case0004\v866_C_monthly_core_201202_20260620_051710_case0004_metrics.csv"
"v866_B_monthly_core_201203_20260620_051710_case0005","monthly_core","B","v8.66","v8.66 robust case0010","201203","2012.03.01","2012.03.31","completed","1360.82","2.35","2832.33","13.44","3","66.67","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201203\v866_B_monthly_core_201203_20260620_051710_case0005\v866_B_monthly_core_201203_20260620_051710_case0005.htm","E:\CODEXMACD\HCSJ\set\v8.66\201203\v866_B_monthly_core_201203_20260620_051710_case0005.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201203\v866_B_monthly_core_201203_20260620_051710_case0005\v866_B_monthly_core_201203_20260620_051710_case0005.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201203\v866_B_monthly_core_201203_20260620_051710_case0005\v866_B_monthly_core_201203_20260620_051710_case0005_metrics.csv"
"v866_C_monthly_core_201203_20260620_051710_case0006","monthly_core","C","v8.66","v8.66 aggressive case0005","201203","2012.03.01","2012.03.31","completed","1519.03","2.38","3107.88","14.67","3","66.67","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201203\v866_C_monthly_core_201203_20260620_051710_case0006\v866_C_monthly_core_201203_20260620_051710_case0006.htm","E:\CODEXMACD\HCSJ\set\v8.66\201203\v866_C_monthly_core_201203_20260620_051710_case0006.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201203\v866_C_monthly_core_201203_20260620_051710_case0006\v866_C_monthly_core_201203_20260620_051710_case0006.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201203\v866_C_monthly_core_201203_20260620_051710_case0006\v866_C_monthly_core_201203_20260620_051710_case0006_metrics.csv"
"v866_B_monthly_core_201204_20260620_051710_case0007","monthly_core","B","v8.66","v8.66 robust case0010","201204","2012.04.01","2012.04.30","completed","0.00","0.00","0.00","0.00","0","0.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201204\v866_B_monthly_core_201204_20260620_051710_case0007\v866_B_monthly_core_201204_20260620_051710_case0007.htm","E:\CODEXMACD\HCSJ\set\v8.66\201204\v866_B_monthly_core_201204_20260620_051710_case0007.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201204\v866_B_monthly_core_201204_20260620_051710_case0007\v866_B_monthly_core_201204_20260620_051710_case0007.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201204\v866_B_monthly_core_201204_20260620_051710_case0007\v866_B_monthly_core_201204_20260620_051710_case0007_metrics.csv"
"v866_C_monthly_core_201204_20260620_051710_case0008","monthly_core","C","v8.66","v8.66 aggressive case0005","201204","2012.04.01","2012.04.30","completed","0.00","0.00","0.00","0.00","0","0.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201204\v866_C_monthly_core_201204_20260620_051710_case0008\v866_C_monthly_core_201204_20260620_051710_case0008.htm","E:\CODEXMACD\HCSJ\set\v8.66\201204\v866_C_monthly_core_201204_20260620_051710_case0008.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201204\v866_C_monthly_core_201204_20260620_051710_case0008\v866_C_monthly_core_201204_20260620_051710_case0008.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201204\v866_C_monthly_core_201204_20260620_051710_case0008\v866_C_monthly_core_201204_20260620_051710_case0008_metrics.csv"
"v866_B_monthly_core_201205_20260620_051710_case0009","monthly_core","B","v8.66","v8.66 robust case0010","201205","2012.05.01","2012.05.31","completed","5295.15","4.98","4506.02","15.12","2","50.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201205\v866_B_monthly_core_201205_20260620_051710_case0009\v866_B_monthly_core_201205_20260620_051710_case0009.htm","E:\CODEXMACD\HCSJ\set\v8.66\201205\v866_B_monthly_core_201205_20260620_051710_case0009.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201205\v866_B_monthly_core_201205_20260620_051710_case0009\v866_B_monthly_core_201205_20260620_051710_case0009.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201205\v866_B_monthly_core_201205_20260620_051710_case0009\v866_B_monthly_core_201205_20260620_051710_case0009_metrics.csv"
"v866_C_monthly_core_201205_20260620_051710_case0010","monthly_core","C","v8.66","v8.66 aggressive case0005","201205","2012.05.01","2012.05.31","completed","5801.70","4.87","4999.59","16.23","2","50.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201205\v866_C_monthly_core_201205_20260620_051710_case0010\v866_C_monthly_core_201205_20260620_051710_case0010.htm","E:\CODEXMACD\HCSJ\set\v8.66\201205\v866_C_monthly_core_201205_20260620_051710_case0010.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201205\v866_C_monthly_core_201205_20260620_051710_case0010\v866_C_monthly_core_201205_20260620_051710_case0010.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\201205\v866_C_monthly_core_201205_20260620_051710_case0010\v866_C_monthly_core_201205_20260620_051710_case0010_metrics.csv"
