"run_id","module","object_id","version","set_role","period","from","to","status","net_profit","profit_factor","max_equity_dd","max_equity_dd_pct","total_trades","win_rate","report","set_file","config","metrics"
"v86_A_quarterly_2012Q1_20260620_051710_case0001","quarterly","A","v8.6","v8.6 robust case0502","2012Q1","2012.01.01","2012.03.31","completed","-2226.80","0.52","5771.35","28.02","10","40.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2012Q1\v86_A_quarterly_2012Q1_20260620_051710_case0001\v86_A_quarterly_2012Q1_20260620_051710_case0001.htm","E:\CODEXMACD\HCSJ\set\v8.6\2012Q1\v86_A_quarterly_2012Q1_20260620_051710_case0001.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2012Q1\v86_A_quarterly_2012Q1_20260620_051710_case0001\v86_A_quarterly_2012Q1_20260620_051710_case0001.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2012Q1\v86_A_quarterly_2012Q1_20260620_051710_case0001\v86_A_quarterly_2012Q1_20260620_051710_case0001_metrics.csv"
"v866_B_quarterly_2012Q1_20260620_051710_case0002","quarterly","B","v8.66","v8.66 robust case0010","2012Q1","2012.01.01","2012.03.31","completed","-2533.06","0.45","5532.25","27.06","10","40.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012Q1\v866_B_quarterly_2012Q1_20260620_051710_case0002\v866_B_quarterly_2012Q1_20260620_051710_case0002.htm","E:\CODEXMACD\HCSJ\set\v8.66\2012Q1\v866_B_quarterly_2012Q1_20260620_051710_case0002.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012Q1\v866_B_quarterly_2012Q1_20260620_051710_case0002\v866_B_quarterly_2012Q1_20260620_051710_case0002.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012Q1\v866_B_quarterly_2012Q1_20260620_051710_case0002\v866_B_quarterly_2012Q1_20260620_051710_case0002_metrics.csv"
"v866_C_quarterly_2012Q1_20260620_051710_case0003","quarterly","C","v8.66","v8.66 aggressive case0005","2012Q1","2012.01.01","2012.03.31","completed","-2822.54","0.43","5994.91","29.26","10","40.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012Q1\v866_C_quarterly_2012Q1_20260620_051710_case0003\v866_C_quarterly_2012Q1_20260620_051710_case0003.htm","E:\CODEXMACD\HCSJ\set\v8.66\2012Q1\v866_C_quarterly_2012Q1_20260620_051710_case0003.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012Q1\v866_C_quarterly_2012Q1_20260620_051710_case0003\v866_C_quarterly_2012Q1_20260620_051710_case0003.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012Q1\v866_C_quarterly_2012Q1_20260620_051710_case0003\v866_C_quarterly_2012Q1_20260620_051710_case0003_metrics.csv"
"v866_D_quarterly_2012Q1_20260620_051710_case0004","quarterly","D","v8.66","v8.66 conservative case0401","2012Q1","2012.01.01","2012.03.31","completed","-2147.03","0.46","4817.78","23.62","10","40.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012Q1\v866_D_quarterly_2012Q1_20260620_051710_case0004\v866_D_quarterly_2012Q1_20260620_051710_case0004.htm","E:\CODEXMACD\HCSJ\set\v8.66\2012Q1\v866_D_quarterly_2012Q1_20260620_051710_case0004.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012Q1\v866_D_quarterly_2012Q1_20260620_051710_case0004\v866_D_quarterly_2012Q1_20260620_051710_case0004.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012Q1\v866_D_quarterly_2012Q1_20260620_051710_case0004\v866_D_quarterly_2012Q1_20260620_051710_case0004_metrics.csv"
"v86_A_quarterly_2012Q2_20260620_051710_case0005","quarterly","A","v8.6","v8.6 robust case0502","2012Q2","2012.04.01","2012.06.30","completed","3567.11","1.89","7605.98","24.61","5","20.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2012Q2\v86_A_quarterly_2012Q2_20260620_051710_case0005\v86_A_quarterly_2012Q2_20260620_051710_case0005.htm","E:\CODEXMACD\HCSJ\set\v8.6\2012Q2\v86_A_quarterly_2012Q2_20260620_051710_case0005.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2012Q2\v86_A_quarterly_2012Q2_20260620_051710_case0005\v86_A_quarterly_2012Q2_20260620_051710_case0005.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2012Q2\v86_A_quarterly_2012Q2_20260620_051710_case0005\v86_A_quarterly_2012Q2_20260620_051710_case0005_metrics.csv"
"v866_B_quarterly_2012Q2_20260620_051710_case0006","quarterly","B","v8.66","v8.66 robust case0010","2012Q2","2012.04.01","2012.06.30","completed","2766.49","1.72","7268.60","24.39","5","20.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012Q2\v866_B_quarterly_2012Q2_20260620_051710_case0006\v866_B_quarterly_2012Q2_20260620_051710_case0006.htm","E:\CODEXMACD\HCSJ\set\v8.66\2012Q2\v866_B_quarterly_2012Q2_20260620_051710_case0006.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012Q2\v866_B_quarterly_2012Q2_20260620_051710_case0006\v866_B_quarterly_2012Q2_20260620_051710_case0006.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012Q2\v866_B_quarterly_2012Q2_20260620_051710_case0006\v866_B_quarterly_2012Q2_20260620_051710_case0006_metrics.csv"
"v866_C_quarterly_2012Q2_20260620_051710_case0007","quarterly","C","v8.66","v8.66 aggressive case0005","2012Q2","2012.04.01","2012.06.30","completed","2970.44","1.69","8088.85","26.26","5","20.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012Q2\v866_C_quarterly_2012Q2_20260620_051710_case0007\v866_C_quarterly_2012Q2_20260620_051710_case0007.htm","E:\CODEXMACD\HCSJ\set\v8.66\2012Q2\v866_C_quarterly_2012Q2_20260620_051710_case0007.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012Q2\v866_C_quarterly_2012Q2_20260620_051710_case0007\v866_C_quarterly_2012Q2_20260620_051710_case0007.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012Q2\v866_C_quarterly_2012Q2_20260620_051710_case0007\v866_C_quarterly_2012Q2_20260620_051710_case0007_metrics.csv"
"v866_D_quarterly_2012Q2_20260620_051710_case0008","quarterly","D","v8.66","v8.66 conservative case0401","2012Q2","2012.04.01","2012.06.30","completed","2471.12","1.77","6125.99","21.57","5","20.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012Q2\v866_D_quarterly_2012Q2_20260620_051710_case0008\v866_D_quarterly_2012Q2_20260620_051710_case0008.htm","E:\CODEXMACD\HCSJ\set\v8.66\2012Q2\v866_D_quarterly_2012Q2_20260620_051710_case0008.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012Q2\v866_D_quarterly_2012Q2_20260620_051710_case0008\v866_D_quarterly_2012Q2_20260620_051710_case0008.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012Q2\v866_D_quarterly_2012Q2_20260620_051710_case0008\v866_D_quarterly_2012Q2_20260620_051710_case0008_metrics.csv"
"v86_A_quarterly_2012Q3_20260620_051710_case0009","quarterly","A","v8.6","v8.6 robust case0502","2012Q3","2012.07.01","2012.09.30","completed","-6270.48","0.02","7027.96","34.24","9","11.11","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2012Q3\v86_A_quarterly_2012Q3_20260620_051710_case0009\v86_A_quarterly_2012Q3_20260620_051710_case0009.htm","E:\CODEXMACD\HCSJ\set\v8.6\2012Q3\v86_A_quarterly_2012Q3_20260620_051710_case0009.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2012Q3\v86_A_quarterly_2012Q3_20260620_051710_case0009\v86_A_quarterly_2012Q3_20260620_051710_case0009.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.6\2012Q3\v86_A_quarterly_2012Q3_20260620_051710_case0009\v86_A_quarterly_2012Q3_20260620_051710_case0009_metrics.csv"
"v866_B_quarterly_2012Q3_20260620_051710_case0010","quarterly","B","v8.66","v8.66 robust case0010","2012Q3","2012.07.01","2012.09.30","completed","-6266.12","0.01","6842.36","33.60","9","11.11","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012Q3\v866_B_quarterly_2012Q3_20260620_051710_case0010\v866_B_quarterly_2012Q3_20260620_051710_case0010.htm","E:\CODEXMACD\HCSJ\set\v8.66\2012Q3\v866_B_quarterly_2012Q3_20260620_051710_case0010.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012Q3\v866_B_quarterly_2012Q3_20260620_051710_case0010\v866_B_quarterly_2012Q3_20260620_051710_case0010.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012Q3\v866_B_quarterly_2012Q3_20260620_051710_case0010\v866_B_quarterly_2012Q3_20260620_051710_case0010_metrics.csv"
"v866_C_quarterly_2012Q3_20260620_051710_case0011","quarterly","C","v8.66","v8.66 aggressive case0005","2012Q3","2012.07.01","2012.09.30","completed","-6743.74","0.02","7338.27","36.02","9","11.11","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012Q3\v866_C_quarterly_2012Q3_20260620_051710_case0011\v866_C_quarterly_2012Q3_20260620_051710_case0011.htm","E:\CODEXMACD\HCSJ\set\v8.66\2012Q3\v866_C_quarterly_2012Q3_20260620_051710_case0011.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012Q3\v866_C_quarterly_2012Q3_20260620_051710_case0011\v866_C_quarterly_2012Q3_20260620_051710_case0011.ini","E:\CODEXMACD\HCSJ\backtest_archive\v8.66\2012Q3\v866_C_quarterly_2012Q3_20260620_051710_case0011\v866_C_quarterly_2012Q3_20260620_051710_case0011_metrics.csv"
