"run_id","window","month_key","from","to","status","net_profit","profit_factor","trade_count","max_equity_dd_pct","report","set_file","config_file","notes"
"v867_month_cluster__201407_0001","2012-2019","201407","2014.07.01","2014.07.31","completed","-2046.09","0.00","3","15.98","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201407_0001\v867_month_cluster__201407_0001.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_month_cluster__201407_0001.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201407_0001\v867_month_cluster__201407_0001.ini","month_cluster=201407"
"v867_month_cluster__201408_0002","2012-2019","201408","2014.08.01","2014.08.31","completed","0.00","0.00","0","0.00","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201408_0002\v867_month_cluster__201408_0002.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_month_cluster__201408_0002.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201408_0002\v867_month_cluster__201408_0002.ini","month_cluster=201408"
"v867_month_cluster__201409_0003","2012-2019","201409","2014.09.01","2014.09.30","completed","-433.68","0.33","4","4.52","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201409_0003\v867_month_cluster__201409_0003.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_month_cluster__201409_0003.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201409_0003\v867_month_cluster__201409_0003.ini","month_cluster=201409"
"v867_month_cluster__201410_0004","2012-2019","201410","2014.10.01","2014.10.31","completed","253.52","1.18","5","13.10","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201410_0004\v867_month_cluster__201410_0004.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_month_cluster__201410_0004.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201410_0004\v867_month_cluster__201410_0004.ini","month_cluster=201410"
"v867_month_cluster__201411_0005","2012-2019","201411","2014.11.01","2014.11.30","completed","-1947.95","0.00","2","13.63","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201411_0005\v867_month_cluster__201411_0005.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_month_cluster__201411_0005.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201411_0005\v867_month_cluster__201411_0005.ini","month_cluster=201411"
"v867_month_cluster__201412_0006","2012-2019","201412","2014.12.01","2014.12.31","completed","-304.38","0.70","3","6.65","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201412_0006\v867_month_cluster__201412_0006.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_month_cluster__201412_0006.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201412_0006\v867_month_cluster__201412_0006.ini","month_cluster=201412"
"v867_month_cluster__201501_0007","2012-2019","201501","2015.01.01","2015.01.31","completed","1519.23","16.04","2","6.54","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201501_0007\v867_month_cluster__201501_0007.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_month_cluster__201501_0007.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201501_0007\v867_month_cluster__201501_0007.ini","month_cluster=201501"
"v867_month_cluster__201502_0008","2012-2019","201502","2015.02.01","2015.02.28","completed","-2350.26","0.04","5","12.40","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201502_0008\v867_month_cluster__201502_0008.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_month_cluster__201502_0008.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201502_0008\v867_month_cluster__201502_0008.ini","month_cluster=201502"
"v867_month_cluster__201503_0009","2012-2019","201503","2015.03.01","2015.03.31","completed","-952.45","0.06","3","6.48","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201503_0009\v867_month_cluster__201503_0009.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_month_cluster__201503_0009.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201503_0009\v867_month_cluster__201503_0009.ini","month_cluster=201503"
"v867_month_cluster__201504_0010","2012-2019","201504","2015.04.01","2015.04.30","completed","-1887.46","0.20","4","23.94","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201504_0010\v867_month_cluster__201504_0010.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_month_cluster__201504_0010.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201504_0010\v867_month_cluster__201504_0010.ini","month_cluster=201504"
"v867_month_cluster__201505_0011","2012-2019","201505","2015.05.01","2015.05.31","completed","-1452.03","0.26","3","15.36","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201505_0011\v867_month_cluster__201505_0011.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_month_cluster__201505_0011.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201505_0011\v867_month_cluster__201505_0011.ini","month_cluster=201505"
"v867_month_cluster__201506_0012","2012-2019","201506","2015.06.01","2015.06.30","completed","120.56","0.00","1","1.93","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201506_0012\v867_month_cluster__201506_0012.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_month_cluster__201506_0012.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201506_0012\v867_month_cluster__201506_0012.ini","month_cluster=201506"
"v867_month_cluster__201701_0013","2012-2019","201701","2017.01.01","2017.01.31","completed","-3181.82","0.16","5","16.72","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201701_0013\v867_month_cluster__201701_0013.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867_month_cluster__201701_0013.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867_month_cluster__201701_0013\v867_month_cluster__201701_0013.ini","month_cluster=201701"
