"run_id","window","quarter","from","to","status","net_profit","profit_factor","trade_count","max_equity_dd_pct","report","set_file","config_file","notes"
"v867q_clean_2012_2019__q01_0001","2012-2019","01","2012.01.01","2012.03.31","completed","-2533.06","0.45","10","27.06","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q01_0001\v867q_clean_2012_2019__q01_0001.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q01_0001.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q01_0001\v867q_clean_2012_2019__q01_0001.ini","quarter=01"
"v867q_clean_2012_2019__q02_0002","2012-2019","02","2012.04.01","2012.06.30","completed","2766.49","1.72","5","24.39","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q02_0002\v867q_clean_2012_2019__q02_0002.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q02_0002.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q02_0002\v867q_clean_2012_2019__q02_0002.ini","quarter=02"
"v867q_clean_2012_2019__q03_0003","2012-2019","03","2012.07.01","2012.09.30","completed","-6266.12","0.01","9","33.60","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q03_0003\v867q_clean_2012_2019__q03_0003.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q03_0003.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q03_0003\v867q_clean_2012_2019__q03_0003.ini","quarter=03"
"v867q_clean_2012_2019__q04_0004","2012-2019","04","2012.10.01","2012.12.31","completed","5805.40","2.74","9","26.98","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q04_0004\v867q_clean_2012_2019__q04_0004.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q04_0004.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q04_0004\v867q_clean_2012_2019__q04_0004.ini","quarter=04"
"v867q_clean_2012_2019__q05_0005","2012-2019","05","2013.01.01","2013.03.31","completed","1512.43","1.46","7","23.14","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q05_0005\v867q_clean_2012_2019__q05_0005.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q05_0005.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q05_0005\v867q_clean_2012_2019__q05_0005.ini","quarter=05"
"v867q_clean_2012_2019__q06_0006","2012-2019","06","2013.04.01","2013.06.30","completed","13368.51","2.62","9","37.57","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q06_0006\v867q_clean_2012_2019__q06_0006.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q06_0006.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q06_0006\v867q_clean_2012_2019__q06_0006.ini","quarter=06"
"v867q_clean_2012_2019__q07_0007","2012-2019","07","2013.07.01","2013.09.30","completed","501.12","1.29","7","21.79","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q07_0007\v867q_clean_2012_2019__q07_0007.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q07_0007.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q07_0007\v867q_clean_2012_2019__q07_0007.ini","quarter=07"
"v867q_clean_2012_2019__q08_0008","2012-2019","08","2013.10.01","2013.12.31","completed","4766.64","3.40","8","11.85","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q08_0008\v867q_clean_2012_2019__q08_0008.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q08_0008.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q08_0008\v867q_clean_2012_2019__q08_0008.ini","quarter=08"
"v867q_clean_2012_2019__q09_0009","2012-2019","09","2014.01.01","2014.03.31","completed","3556.04","1.87","9","16.47","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q09_0009\v867q_clean_2012_2019__q09_0009.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q09_0009.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q09_0009\v867q_clean_2012_2019__q09_0009.ini","quarter=09"
"v867q_clean_2012_2019__q10_0010","2012-2019","10","2014.04.01","2014.06.30","completed","3561.06","1.62","9","19.43","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q10_0010\v867q_clean_2012_2019__q10_0010.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q10_0010.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q10_0010\v867q_clean_2012_2019__q10_0010.ini","quarter=10"
"v867q_clean_2012_2019__q11_0011","2012-2019","11","2014.07.01","2014.09.30","completed","-3025.54","0.06","8","21.96","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q11_0011\v867q_clean_2012_2019__q11_0011.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q11_0011.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q11_0011\v867q_clean_2012_2019__q11_0011.ini","quarter=11"
"v867q_clean_2012_2019__q12_0012","2012-2019","12","2014.10.01","2014.12.31","completed","-1985.81","0.53","10","21.06","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q12_0012\v867q_clean_2012_2019__q12_0012.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q12_0012.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q12_0012\v867q_clean_2012_2019__q12_0012.ini","quarter=12"
"v867q_clean_2012_2019__q13_0013","2012-2019","13","2015.01.01","2015.03.31","completed","-1920.56","0.48","10","22.89","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q13_0013\v867q_clean_2012_2019__q13_0013.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q13_0013.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q13_0013\v867q_clean_2012_2019__q13_0013.ini","quarter=13"
"v867q_clean_2012_2019__q14_0014","2012-2019","14","2015.04.01","2015.06.30","completed","-5047.40","0.10","8","36.58","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q14_0014\v867q_clean_2012_2019__q14_0014.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q14_0014.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q14_0014\v867q_clean_2012_2019__q14_0014.ini","quarter=14"
"v867q_clean_2012_2019__q15_0015","2012-2019","15","2015.07.01","2015.09.30","completed","628.19","1.24","7","16.38","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q15_0015\v867q_clean_2012_2019__q15_0015.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q15_0015.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q15_0015\v867q_clean_2012_2019__q15_0015.ini","quarter=15"
"v867q_clean_2012_2019__q16_0016","2012-2019","16","2015.10.01","2015.12.31","completed","2207.43","1.72","5","17.41","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q16_0016\v867q_clean_2012_2019__q16_0016.htm","E:\CODEXMACD\HCSJ\set\v8.67\2012-2019\v867q_clean_2012_2019__q16_0016.set","E:\CODEXMACD\HCSJ\backtest_archive\v8.67\2012-2019\v867q_clean_2012_2019__q16_0016\v867q_clean_2012_2019__q16_0016.ini","quarter=16"
