"Version","Stage","Case","Class","NetSum","MinNet","AvgPF","MaxEquityDD","MaxEquityDDPct","Trades","MinTrades","RobustnessScore","Runs"
"v8.6","common_search","5","watchlist","150642.36","19028.03","1.29","59237","49.9","503","97","78","v86_2012-2014_commonsearch_round01_case0005;v86_2015-2019_commonsearch_round01_case0005;v86_2017-2023_commonsearch_round01_case0005"
"v8.6","sensitivity_stress","502","stress","150662.82","19675.31","1.28","75485.76","51.65","494","97","77","v86_2012-2014_stress_round01_case0502;v86_2015-2019_stress_round01_case0502;v86_2017-2023_stress_round01_case0502"
"v8.6","common_search","2","conservative","88374.3","12905.56","1.27","39912.22","39.65","480","95","63","v86_2012-2014_commonsearch_round01_case0002;v86_2015-2019_commonsearch_round01_case0002;v86_2017-2023_commonsearch_round01_case0002"
"v8.6","fixed_baseline","1","baseline","106571.2","13194.1","1.23","61397.22","46.91","480","95","59","v86_2015-2019_fixed_round01_case0001_retry2;v86_2012-2014_fixed_round01_case0001;v86_2017-2023_fixed_round01_case0001"
"v8.6","common_search","3","aggressive","120620.67","12669.6","1.2","86866.29","53.38","480","95","55","v86_2012-2014_commonsearch_round01_case0003;v86_2015-2019_commonsearch_round01_case0003;v86_2017-2023_commonsearch_round01_case0003"
"v8.6","sensitivity_stress","501","stress","128229.18","2639.39","1.25","71584.05","58.86","516","97","42","v86_2012-2014_stress_round01_case0501;v86_2015-2019_stress_round01_case0501;v86_2017-2023_stress_round01_case0501"
"v8.6","common_search","4","watchlist","63536.38","7945.53","1.16","53614.71","52.79","461","93","30","v86_2012-2014_commonsearch_round01_case0004;v86_2015-2019_commonsearch_round01_case0004;v86_2017-2023_commonsearch_round01_case0004"
"v8.66","sensitivity_stress","401","stress","93569.2","12775.21","1.26","45502.06","41.81","480","95","62","v866_2012-2014_stress_round01_case0401;v866_2015-2019_stress_round01_case0401;v866_2017-2023_stress_round01_case0401"
"v8.66","sensitivity_stress","402","stress","100920.92","13136.8","1.25","53970.84","44.71","480","95","61","v866_2012-2014_stress_round01_case0402;v866_2015-2019_stress_round01_case0402;v866_2017-2023_stress_round01_case0402"
"v8.66","risk_search","4","conservative","97416.07","13182.13","1.25","49610.11","43.29","480","95","61","v866_2012-2014_risksearch_round01_case0004;v866_2015-2019_risksearch_round01_case0004;v866_2017-2023_risksearch_round01_case0004"
"v8.66","sensitivity_stress","1001","stress","106841.97","13274.1","1.23","61365.14","46.9","480","95","60","v866_2012-2014_stress_round01_case1001;v866_2015-2019_stress_round01_case1001;v866_2017-2023_stress_round01_case1001"
"v8.66","structure_search","10","watchlist","106839.33","13268.74","1.23","61364.96","46.9","480","95","60","v866_2012-2014_structuresearch_round01_case0010;v866_2015-2019_structuresearch_round01_case0010;v866_2017-2023_structuresearch_round01_case0010"
"v8.66","sensitivity_stress","1002","stress","106264.77","13338.84","1.24","60299.77","46.52","480","95","60","v866_2012-2014_stress_round01_case1002;v866_2015-2019_stress_round01_case1002;v866_2017-2023_stress_round01_case1002"
"v8.66","fixed_baseline","1","baseline","105508.03","13113.95","1.24","60456.82","46.78","480","95","59","v866_2012-2014_fixed_round01_case0001;v866_2015-2019_fixed_round01_case0001;v866_2017-2023_fixed_round01_case0001"
"v8.66","risk_search","3","aggressive","106350.15","13316.56","1.23","61038.99","46.89","480","95","59","v866_2012-2014_risksearch_round01_case0003;v866_2015-2019_risksearch_round01_case0003;v866_2017-2023_risksearch_round01_case0003"
"v8.66","risk_search","6","watchlist","104152.58","12903.92","1.24","59124.34","46.4","480","95","59","v866_2012-2014_risksearch_round01_case0006;v866_2015-2019_risksearch_round01_case0006;v866_2017-2023_risksearch_round01_case0006"
"v8.66","structure_search","7","structure-control","106412.86","13202.06","1.23","61387.48","46.88","480","95","59","v866_2012-2014_structuresearch_round01_case0007;v866_2015-2019_structuresearch_round01_case0007;v866_2017-2023_structuresearch_round01_case0007"
"v8.66","structure_search","11","watchlist","106345.92","13316.56","1.23","61038.99","46.89","480","95","59","v866_2012-2014_structuresearch_round01_case0011;v866_2015-2019_structuresearch_round01_case0011;v866_2017-2023_structuresearch_round01_case0011"
"v8.66","structure_search","8","watchlist","106424.55","13326.33","1.23","61103.49","46.91","480","95","59","v866_2012-2014_structuresearch_round01_case0008;v866_2015-2019_structuresearch_round01_case0008;v866_2017-2023_structuresearch_round01_case0008"
"v8.66","structure_search","9","aggressive","106412.86","13202.06","1.23","61387.48","46.88","480","95","59","v866_2012-2014_structuresearch_round01_case0009;v866_2015-2019_structuresearch_round01_case0009;v866_2017-2023_structuresearch_round01_case0009"
"v8.66","risk_search","2","conservative","102524.13","12584.96","1.23","58699.89","46.54","480","95","58","v866_2012-2014_risksearch_round01_case0002;v866_2015-2019_risksearch_round01_case0002;v866_2017-2023_risksearch_round01_case0002"
"v8.66","risk_search","5","aggressive","113494.89","13052.56","1.22","72812.53","50.1","480","95","57","v866_2012-2014_risksearch_round01_case0005;v866_2015-2019_risksearch_round01_case0005;v866_2017-2023_risksearch_round01_case0005"
