"Group","Period","PF","Trades","NetProfit","MaxDD","Sharpe","Report"
"BALANCED","2015_2019","1.37","123","41 728.26","23 628.45 (28.23%)","1.04","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_BALANCED_2015_2019.htm"
"BALANCED","2020_2025","1.82","152","186 199.39","63 606.06 (40.99%)","1.64","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_BALANCED_2020_2025.htm"
"BALANCED","2025_2026","1.9","41","22 239.63","11 782.79 (40.51%)","2.39","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_BALANCED_2025_2026.htm"
"CONSERVATIVE","2015_2019","1.13","97","7 306.73","19 752.58 (49.89%)","0.49","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_CONSERVATIVE_2015_2019.htm"
"CONSERVATIVE","2020_2025","1.38","116","30 482.54","23 815.12 (63.04%)","0.96","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_CONSERVATIVE_2020_2025.htm"
"CONSERVATIVE","2025_2026","2.76","35","30 083.51","10 033.51 (38.84%)","3.53","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_CONSERVATIVE_2025_2026.htm"
"PASS1577","2015_2019","1.01","63","408.45","20 297.80 (49.86%)","0.05","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1577_2015_2019.htm"
"PASS1577","2020_2025","2.15","79","176 970.46","48 113.98 (52.56%)","2.72","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1577_2020_2025.htm"
"PASS1577","2025_2026","2.69","32","54 939.71","22 102.89 (28.09%)","4.81","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1577_2025_2026.htm"
"PASS1581","2015_2019","1","60","39.16","19 612.51 (50.49%)","0","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1581_2015_2019.htm"
"PASS1581","2020_2025","2.06","84","164 742.36","50 609.36 (54.10%)","2.64","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1581_2020_2025.htm"
"PASS1581","2025_2026","2.57","33","51 010.72","20 964.75 (28.11%)","4.59","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1581_2025_2026.htm"
"PASS1632","2015_2019","1.01","63","408.45","20 297.80 (49.86%)","0.05","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1632_2015_2019.htm"
"PASS1632","2020_2025","2.13","80","169 166.95","46 202.24 (52.53%)","2.75","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1632_2020_2025.htm"
"PASS1632","2025_2026","2.69","32","54 939.71","22 102.89 (28.09%)","4.81","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1632_2025_2026.htm"
"PASS1639","2015_2019","1.14","81","9 117.05","29 270.09 (50.13%)","0.66","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1639_2015_2019.htm"
"PASS1639","2020_2025","1.79","94","103 506.01","41 650.45 (62.63%)","2.03","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1639_2020_2025.htm"
"PASS1639","2025_2026","2.69","32","54 939.71","22 102.89 (28.09%)","4.81","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1639_2025_2026.htm"
"PASS1729","2015_2019","0.96","63","-1 838.63","18 906.83 (51.01%)","-0.23","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1729_2015_2019.htm"
"PASS1729","2020_2025","2.36","78","186 643.67","48 411.43 (20.92%)","2.53","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1729_2020_2025.htm"
"PASS1729","2025_2026","2.88","31","71 709.02","30 690.12 (30.12%)","4.74","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1729_2025_2026.htm"
