"Group","Period","Status","ExitCode","Seconds","Report"
"PASS1577","2015_2019","OK","0","8.1","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1577_2015_2019.htm"
"PASS1577","2020_2025","OK","0","8.1","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1577_2020_2025.htm"
"PASS1577","2025_2026","OK","0","8.1","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1577_2025_2026.htm"
"PASS1632","2015_2019","OK","0","8.1","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1632_2015_2019.htm"
"PASS1632","2020_2025","OK","0","8.1","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1632_2020_2025.htm"
"PASS1632","2025_2026","OK","0","7.1","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1632_2025_2026.htm"
"PASS1729","2015_2019","OK","0","8.1","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1729_2015_2019.htm"
"PASS1729","2020_2025","OK","0","8.1","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1729_2020_2025.htm"
"PASS1729","2025_2026","OK","0","7.1","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1729_2025_2026.htm"
"PASS1581","2015_2019","OK","0","8.1","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1581_2015_2019.htm"
"PASS1581","2020_2025","OK","0","8.1","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1581_2020_2025.htm"
"PASS1581","2025_2026","OK","0","8.1","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1581_2025_2026.htm"
"PASS1639","2015_2019","OK","0","8.1","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1639_2015_2019.htm"
"PASS1639","2020_2025","OK","0","8.1","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1639_2020_2025.htm"
"PASS1639","2025_2026","OK","0","7.1","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_PASS1639_2025_2026.htm"
"BALANCED","2015_2019","OK","0","8.1","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_BALANCED_2015_2019.htm"
"BALANCED","2020_2025","OK","0","9.1","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_BALANCED_2020_2025.htm"
"BALANCED","2025_2026","OK","0","8.1","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_BALANCED_2025_2026.htm"
"CONSERVATIVE","2015_2019","OK","0","8.1","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_CONSERVATIVE_2015_2019.htm"
"CONSERVATIVE","2020_2025","OK","0","8.1","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_CONSERVATIVE_2020_2025.htm"
"CONSERVATIVE","2025_2026","OK","0","8.1","D:\MT5测试\MetaTrader 5\SingleEAReports\overfit_check_grokmacd_v861\overfit_CONSERVATIVE_2025_2026.htm"
