阶段,序号,具体步骤,责任人,计划开始时间,计划完成时间,实际开始时间,实际完成时间,计划耗时(天),实际耗时(天),状态,完成率,异常情况及处理措施,签字确认,备注
原料采购,1.1,筛选合格卖方并确认资质,,,,,,,,,0,,,
原料采购,1.2,签订《境外采购合同》,,,,,,,,,0,,,
...（后续行自动向下填充）,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,,,,,,,,,,,,,,
"重要设置说明（必须操作）
1. 下拉菜单（数据验证）

状态列（K列）：选中K2:K100 → 数据验证 → 列表 → 输入以下内容：",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"未开始,进行中,已完成,异常",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
责任人列：可设置公司内部人员名单下拉,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2. 自动计算公式（已包含在上表中）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"计划耗时(天)：=IF(AND(F2<>"""",G2<>""""),G2-F2,"""")",,,,,,,,,,,,,,
"实际耗时(天)：=IF(AND(H2<>"""",I2<>""""),I2-H2,"""")",,,,,,,,,,,,,,
"完成率：=IF(K2=""已完成"",1,IF(K2=""进行中"",0.5,0)) （格式设置为百分比）",,,,,,,,,,,,,,
总完成率（建议在表格底部添加汇总行）：,,,,,,,,,,,,,,
text,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
责任人列：可设置公司内部人员名单下拉,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2. 自动计算公式（已包含在上表中）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"计划耗时(天)：=IF(AND(F2<>"""",G2<>""""),G2-F2,"""")",,,,,,,,,,,,,,
"实际耗时(天)：=IF(AND(H2<>"""",I2<>""""),I2-H2,"""")",,,,,,,,,,,,,,
"完成率：=IF(K2=""已完成"",1,IF(K2=""进行中"",0.5,0)) （格式设置为百分比）",,,,,,,,,,,,,,
总完成率（建议在表格底部添加汇总行）：,,,,,,,,,,,,,,
text,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3. 条件格式（颜色提示）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
状态列：,,,,,,,,,,,,,,
“已完成” → 绿色填充,,,,,,,,,,,,,,
“进行中” → 黄色填充,,,,,,,,,,,,,,
“异常” → 红色填充,,,,,,,,,,,,,,
完成率列：数值越高颜色越深（数据条）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4. 汇总统计行（建议放在表格最后）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
总计划耗时：=SUM(J2:J100),,,,,,,,,,,,,,
总实际耗时：=SUM(M2:M100),,,,,,,,,,,,,,
整体完成率：=AVERAGE(L2:L100)（百分比格式）,,,,,,,,,,,,,,
"异常单数量：=COUNTIF(K2:K100,""异常"")",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
推荐Excel高级功能,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
筛选与排序：给表格添加筛选（数据 → 筛选）,,,,,,,,,,,,,,
数据透视表：按阶段统计完成情况,,,,,,,,,,,,,,
保护工作表：只允许填写“实际时间”和“异常情况”,,,,,,,,,,,,,,
宏按钮（可选）：一键生成PDF报告,,,,,,,,,,,,,,
